Id,CAD=X,len,datetime,open,high,low,close,volume,openinterest,adjclose,TestStrategy,len,datetime,MovingAverageSimple,len,sma,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,CAD=X,1,2007-07-23 23:59:59.999989,1.05,1.05,1.04,1.05,0.0,0.0,1.04676,TestStrategy,1,732880.9999999999,MovingAverageSimple,1,,Broker,1,1000.0,1000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,CAD=X,2,2007-07-24 23:59:59.999989,1.05,1.05,1.03,1.04,0.0,0.0,1.0366,TestStrategy,2,732881.9999999999,MovingAverageSimple,2,,Broker,2,1000.0,1000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,CAD=X,3,2007-07-25 23:59:59.999989,1.04,1.04,1.03,1.04,0.0,0.0,1.0418,TestStrategy,3,732882.9999999999,MovingAverageSimple,3,,Broker,3,1000.0,1000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,CAD=X,4,2007-07-26 23:59:59.999989,1.04,1.06,1.04,1.05,0.0,0.0,1.0536,TestStrategy,4,732883.9999999999,MovingAverageSimple,4,,Broker,4,1000.0,1000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,CAD=X,5,2007-07-27 23:59:59.999989,1.05,1.07,1.05,1.06,0.0,0.0,1.0639,TestStrategy,5,732884.9999999999,MovingAverageSimple,5,,Broker,5,1000.0,1000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,CAD=X,6,2007-07-30 23:59:59.999989,1.06,1.07,1.06,1.07,0.0,0.0,1.06556,TestStrategy,6,732887.9999999999,MovingAverageSimple,6,,Broker,6,1000.0,1000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,CAD=X,7,2007-07-31 23:59:59.999989,1.07,1.07,1.06,1.07,0.0,0.0,1.0668,TestStrategy,7,732888.9999999999,MovingAverageSimple,7,,Broker,7,1000.0,1000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,CAD=X,8,2007-08-01 23:59:59.999989,1.07,1.07,1.06,1.06,0.0,0.0,1.056,TestStrategy,8,732889.9999999999,MovingAverageSimple,8,,Broker,8,1000.0,1000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,CAD=X,9,2007-08-02 23:59:59.999989,1.06,1.06,1.05,1.05,0.0,0.0,1.053,TestStrategy,9,732890.9999999999,MovingAverageSimple,9,,Broker,9,1000.0,1000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,CAD=X,10,2007-08-03 23:59:59.999989,1.05,1.06,1.05,1.05,0.0,0.0,1.0521,TestStrategy,10,732891.9999999999,MovingAverageSimple,10,,Broker,10,1000.0,1000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,CAD=X,11,2007-08-06 23:59:59.999989,1.06,1.06,1.05,1.05,0.0,0.0,1.0517,TestStrategy,11,732894.9999999999,MovingAverageSimple,11,,Broker,11,1000.0,1000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,CAD=X,12,2007-08-07 23:59:59.999989,1.05,1.06,1.05,1.06,0.0,0.0,1.0551,TestStrategy,12,732895.9999999999,MovingAverageSimple,12,,Broker,12,1000.0,1000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,CAD=X,13,2007-08-08 23:59:59.999989,1.06,1.06,1.05,1.05,0.0,0.0,1.0485,TestStrategy,13,732896.9999999999,MovingAverageSimple,13,,Broker,13,1000.0,1000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,CAD=X,14,2007-08-09 23:59:59.999989,1.05,1.06,1.05,1.06,0.0,0.0,1.05705,TestStrategy,14,732897.9999999999,MovingAverageSimple,14,,Broker,14,1000.0,1000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,CAD=X,15,2007-08-10 23:59:59.999989,1.06,1.06,1.05,1.05,0.0,0.0,1.0531,TestStrategy,15,732898.9999999999,MovingAverageSimple,15,1.054,Broker,15,1000.0,1000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,CAD=X,16,2007-08-13 23:59:59.999989,1.05,1.06,1.05,1.05,0.0,0.0,1.0545,TestStrategy,16,732901.9999999999,MovingAverageSimple,16,1.054,Broker,16,1000.0,1000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,CAD=X,17,2007-08-14 23:59:59.999989,1.05,1.07,1.05,1.07,0.0,0.0,1.0682,TestStrategy,17,732902.9999999999,MovingAverageSimple,17,1.056,Broker,17,1000.0,1000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,CAD=X,18,2007-08-15 23:59:59.999989,1.07,1.08,1.07,1.08,0.0,0.0,1.08,TestStrategy,18,732903.9999999999,MovingAverageSimple,18,1.0586666666666666,Broker,18,989.3,1000.0999999999999,BuySell,18,1.05395,,Trades - Net Profit/Loss,18,,
19,CAD=X,19,2007-08-16 23:59:59.999989,1.08,1.09,1.07,1.07,0.0,0.0,1.0728,TestStrategy,19,732904.9999999999,MovingAverageSimple,19,1.06,Broker,19,989.3,1000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,CAD=X,20,2007-08-17 23:59:59.999989,1.07,1.08,1.06,1.06,0.0,0.0,1.061,TestStrategy,20,732905.9999999999,MovingAverageSimple,20,1.06,Broker,20,989.3,999.9,BuySell,20,,,Trades - Net Profit/Loss,20,,
